id,datesubmit,submitApplication,accounts_id,is_copywriter,is_editor,is_translator,copywriter,editor,translator,is_validated,article,copywriterfinal,editorfinal,translatorfinal,remarks,progress,jobaccepted,dateaccepted,validationDate
1001,04/08/2021 10:44,TRUE,1001,FALSE,FALSE,FALSE,52,62,66,TRUE,100,88,91,87,You have passed the following jobs,You have passed the following jobs,Copy Writer,28/10/2021 14:24,16/08/2021 13:01
1002,22/05/2021 14:30,TRUE,1002,TRUE,FALSE,FALSE,68,51,57,TRUE,96,93,91,87,You have passed the following jobs,You have passed the following jobs,Copy Writer,07/06/2021 14:09,17/08/2021 21:59
1003,26/03/2021 2:59,TRUE,1003,FALSE,TRUE,TRUE,62,50,54,TRUE,94,76,95,87,You have passed the following jobs,You have passed the following jobs,Copy Writer,25/06/2021 17:20,13/03/2021 7:04
1004,16/07/2021 13:13,TRUE,1004,TRUE,FALSE,TRUE,65,50,66,TRUE,94,91,75,95,You have passed the following jobs,You have passed the following jobs,Copy Writer,29/03/2021 10:24,11/06/2021 19:44
1005,11/08/2021 14:13,TRUE,1005,FALSE,TRUE,FALSE,67,51,51,TRUE,88,94,89,83,You have passed the following jobs,You have passed the following jobs,Copy Writer,21/04/2021 22:31,12/02/2021 1:56
1006,27/03/2021 15:44,TRUE,1006,TRUE,FALSE,TRUE,67,57,58,TRUE,90,88,93,89,You have passed the following jobs,You have passed the following jobs,Copy Writer,16/06/2021 16:20,04/08/2021 18:40
1007,23/09/2021 9:11,TRUE,1007,FALSE,TRUE,FALSE,69,68,70,TRUE,97,85,94,96,You have passed the following jobs,You have passed the following jobs,Copy Writer,25/10/2021 15:15,15/02/2021 18:40
1008,27/08/2021 16:36,TRUE,1008,TRUE,TRUE,FALSE,63,55,56,TRUE,87,93,92,95,You have passed the following jobs,You have passed the following jobs,Copy Writer,29/04/2021 16:20,25/10/2021 8:05
1009,01/07/2021 21:04,TRUE,1009,TRUE,TRUE,FALSE,68,62,66,TRUE,86,85,85,91,You have passed the following jobs,You have passed the following jobs,Copy Writer,22/04/2021 4:56,09/08/2021 13:28
1010,01/09/2021 11:09,TRUE,1010,TRUE,TRUE,FALSE,65,68,63,TRUE,83,76,87,94,You have passed the following jobs,You have passed the following jobs,Copy Writer,06/06/2021 15:54,28/07/2021 14:52
1011,26/04/2021 10:51,TRUE,1011,TRUE,FALSE,TRUE,66,65,58,TRUE,82,96,83,92,You have passed the following jobs,You have passed the following jobs,Copy Writer,21/04/2021 6:10,05/06/2021 3:28
1012,08/04/2021 9:06,TRUE,1012,FALSE,TRUE,FALSE,56,62,63,TRUE,92,82,82,75,You have passed the following jobs,You have passed the following jobs,Copy Writer,27/05/2021 14:13,07/07/2021 12:30
1013,06/07/2021 4:56,TRUE,1013,TRUE,TRUE,TRUE,64,67,64,TRUE,100,85,96,92,You have passed the following jobs,You have passed the following jobs,Copy Writer,16/02/2021 6:07,18/07/2021 1:45
1014,07/08/2021 21:19,TRUE,1014,FALSE,FALSE,TRUE,70,57,60,TRUE,82,80,86,78,You have passed the following jobs,You have passed the following jobs,Copy Writer,12/02/2021 7:33,15/04/2021 5:35
1015,26/06/2021 17:20,TRUE,1015,TRUE,FALSE,TRUE,69,57,52,TRUE,95,80,80,81,You have passed the following jobs,You have passed the following jobs,Copy Writer,05/07/2021 9:30,09/08/2021 12:51
1016,31/07/2021 18:41,TRUE,1016,FALSE,TRUE,TRUE,59,64,58,TRUE,83,76,86,92,You have passed the following jobs,You have passed the following jobs,Copy Writer,13/05/2021 10:39,27/08/2021 1:34
1017,15/07/2021 11:13,TRUE,1017,TRUE,TRUE,TRUE,59,54,52,TRUE,99,87,93,84,You have passed the following jobs,You have passed the following jobs,Copy Writer,23/07/2021 9:03,19/05/2021 23:29
1018,11/04/2021 23:57,TRUE,1018,TRUE,TRUE,TRUE,62,67,66,TRUE,95,91,94,77,You have passed the following jobs,You have passed the following jobs,Copy Writer,13/06/2021 19:40,20/05/2021 18:24
1019,02/09/2021 5:55,TRUE,1019,TRUE,FALSE,FALSE,61,69,62,TRUE,84,90,77,90,You have passed the following jobs,You have passed the following jobs,Copy Writer,26/02/2021 5:15,15/03/2021 12:34
1020,16/06/2021 21:39,TRUE,1020,FALSE,FALSE,TRUE,53,66,65,TRUE,99,86,87,80,You have passed the following jobs,You have passed the following jobs,Copy Writer,04/07/2021 4:21,23/02/2021 19:14
1021,25/09/2021 15:49,TRUE,1021,FALSE,TRUE,FALSE,50,53,52,TRUE,96,84,96,77,You have passed the following jobs,You have passed the following jobs,Copy Writer,23/06/2021 12:55,02/03/2021 2:18
1022,13/04/2021 17:01,TRUE,1022,FALSE,FALSE,TRUE,57,63,70,TRUE,97,90,81,79,You have passed the following jobs,You have passed the following jobs,Copy Writer,26/10/2021 5:51,23/10/2021 22:42
1023,10/03/2021 12:14,TRUE,1023,TRUE,FALSE,FALSE,53,54,55,TRUE,81,89,85,77,You have passed the following jobs,You have passed the following jobs,Copy Writer,22/02/2021 1:16,04/03/2021 7:49
1024,13/02/2021 8:08,TRUE,1024,TRUE,TRUE,FALSE,57,68,60,TRUE,97,78,79,75,You have passed the following jobs,You have passed the following jobs,Copy Writer,15/06/2021 7:15,25/08/2021 7:40
1025,22/06/2021 22:49,TRUE,1025,TRUE,TRUE,TRUE,69,63,69,TRUE,92,94,86,82,You have passed the following jobs,You have passed the following jobs,Copy Writer,05/08/2021 6:14,24/05/2021 1:41
1026,14/09/2021 20:23,TRUE,1026,TRUE,TRUE,FALSE,62,56,62,TRUE,94,92,94,82,You have passed the following jobs,You have passed the following jobs,Copy Writer,01/06/2021 0:44,22/02/2021 8:04
1027,26/05/2021 18:47,TRUE,1027,TRUE,FALSE,TRUE,61,66,62,TRUE,89,96,95,94,You have passed the following jobs,You have passed the following jobs,Copy Writer,08/10/2021 9:23,14/02/2021 8:31
1028,11/10/2021 2:41,TRUE,1028,TRUE,TRUE,TRUE,61,53,52,TRUE,89,77,93,93,You have passed the following jobs,You have passed the following jobs,Copy Writer,03/07/2021 8:20,31/08/2021 1:43
1029,20/03/2021 7:50,TRUE,1029,FALSE,FALSE,FALSE,67,53,53,TRUE,80,93,86,86,You have passed the following jobs,You have passed the following jobs,Copy Writer,17/10/2021 13:10,10/03/2021 0:17
1030,09/06/2021 13:06,TRUE,1030,FALSE,FALSE,FALSE,57,63,70,TRUE,94,83,82,83,You have passed the following jobs,You have passed the following jobs,Copy Writer,06/05/2021 0:47,29/04/2021 22:00
1031,08/07/2021 5:46,TRUE,1031,TRUE,FALSE,FALSE,57,70,62,TRUE,84,90,85,78,You have passed the following jobs,You have passed the following jobs,Copy Writer,16/05/2021 19:54,20/03/2021 21:03
1032,18/04/2021 9:26,TRUE,1032,TRUE,FALSE,FALSE,50,66,60,TRUE,90,94,81,95,You have passed the following jobs,You have passed the following jobs,Copy Writer,10/09/2021 1:39,07/05/2021 7:11
1033,03/06/2021 23:21,TRUE,1033,FALSE,FALSE,FALSE,57,53,60,TRUE,95,77,89,83,You have passed the following jobs,You have passed the following jobs,Copy Writer,01/03/2021 22:18,15/06/2021 2:02
1034,15/08/2021 4:52,TRUE,1034,FALSE,FALSE,FALSE,66,61,52,TRUE,94,89,92,95,You have passed the following jobs,You have passed the following jobs,Copy Writer,30/04/2021 10:41,05/03/2021 9:46
1035,14/05/2021 14:07,TRUE,1035,TRUE,FALSE,FALSE,67,63,70,TRUE,92,77,81,90,You have passed the following jobs,You have passed the following jobs,Copy Writer,14/07/2021 5:03,26/02/2021 20:24
1036,27/09/2021 0:06,TRUE,1036,TRUE,FALSE,FALSE,54,52,66,TRUE,93,96,89,83,You have passed the following jobs,You have passed the following jobs,Copy Writer,21/03/2021 14:12,10/10/2021 18:21
1037,17/05/2021 0:20,TRUE,1037,FALSE,TRUE,TRUE,67,58,70,TRUE,83,78,80,92,You have passed the following jobs,You have passed the following jobs,Copy Writer,04/03/2021 17:12,24/09/2021 6:07
1038,08/07/2021 2:59,TRUE,1038,FALSE,FALSE,TRUE,59,62,60,TRUE,80,79,78,78,You have passed the following jobs,You have passed the following jobs,Copy Writer,12/04/2021 12:51,14/07/2021 18:00
1039,21/09/2021 15:44,TRUE,1039,FALSE,TRUE,FALSE,68,58,64,TRUE,81,81,94,89,You have passed the following jobs,You have passed the following jobs,Copy Writer,24/09/2021 20:58,26/07/2021 10:55
1040,22/02/2021 11:55,TRUE,1040,FALSE,FALSE,TRUE,63,66,63,TRUE,80,84,83,76,You have passed the following jobs,You have passed the following jobs,Copy Writer,22/08/2021 19:48,17/08/2021 9:10
1041,17/03/2021 22:32,TRUE,1041,FALSE,TRUE,TRUE,56,57,64,TRUE,94,75,84,87,You have passed the following jobs,You have passed the following jobs,Copy Writer,30/08/2021 13:36,09/07/2021 5:16
1042,10/03/2021 21:23,TRUE,1042,FALSE,FALSE,TRUE,63,61,57,TRUE,96,78,83,90,You have passed the following jobs,You have passed the following jobs,Copy Writer,13/06/2021 1:11,10/06/2021 8:24
1043,24/06/2021 10:54,TRUE,1043,TRUE,FALSE,FALSE,65,64,58,TRUE,98,95,77,82,You have passed the following jobs,You have passed the following jobs,Copy Writer,20/09/2021 13:28,01/09/2021 17:49
1044,17/02/2021 13:25,TRUE,1044,FALSE,FALSE,FALSE,67,70,61,TRUE,97,91,76,80,You have passed the following jobs,You have passed the following jobs,Copy Writer,10/02/2021 21:11,11/02/2021 21:01
1045,29/07/2021 4:13,TRUE,1045,FALSE,TRUE,FALSE,62,50,50,TRUE,84,80,78,77,You have passed the following jobs,You have passed the following jobs,Copy Writer,26/06/2021 19:56,10/08/2021 20:10
1046,02/09/2021 2:25,TRUE,1046,FALSE,TRUE,TRUE,51,58,70,TRUE,90,95,77,85,You have passed the following jobs,You have passed the following jobs,Copy Writer,04/07/2021 19:01,06/05/2021 6:52
1047,22/04/2021 9:52,TRUE,1047,FALSE,FALSE,FALSE,63,65,67,TRUE,97,86,87,91,You have passed the following jobs,You have passed the following jobs,Copy Writer,13/05/2021 8:10,05/05/2021 19:20
1048,15/10/2021 12:35,TRUE,1048,FALSE,FALSE,FALSE,65,53,59,TRUE,86,79,90,81,You have passed the following jobs,You have passed the following jobs,Copy Writer,22/02/2021 2:59,05/10/2021 5:26
1049,01/06/2021 7:16,TRUE,1049,TRUE,FALSE,FALSE,67,64,65,TRUE,81,78,86,84,You have passed the following jobs,You have passed the following jobs,Copy Writer,24/04/2021 2:08,10/03/2021 2:10
1050,08/04/2021 15:08,TRUE,1050,FALSE,TRUE,TRUE,70,50,70,TRUE,84,87,88,86,You have passed the following jobs,You have passed the following jobs,Editor,09/09/2021 21:46,14/03/2021 16:03
1051,02/06/2021 12:00,TRUE,1051,FALSE,FALSE,TRUE,67,52,68,TRUE,99,86,91,78,You have passed the following jobs,You have passed the following jobs,Editor,11/06/2021 5:08,13/04/2021 4:32
1052,14/02/2021 17:43,TRUE,1052,FALSE,TRUE,FALSE,61,69,68,TRUE,86,95,86,91,You have passed the following jobs,You have passed the following jobs,Editor,28/02/2021 7:05,09/08/2021 10:56
1053,10/03/2021 15:16,TRUE,1053,FALSE,FALSE,FALSE,51,51,58,TRUE,96,78,85,90,You have passed the following jobs,You have passed the following jobs,Editor,22/09/2021 16:39,30/10/2021 2:27
1054,12/08/2021 7:57,TRUE,1054,TRUE,FALSE,FALSE,51,54,51,TRUE,86,79,80,87,You have passed the following jobs,You have passed the following jobs,Editor,07/03/2021 6:11,26/06/2021 21:26
1055,27/06/2021 4:29,TRUE,1055,FALSE,TRUE,FALSE,60,57,60,TRUE,86,81,94,89,You have passed the following jobs,You have passed the following jobs,Copy Writer,22/04/2021 16:41,07/08/2021 10:08
1056,08/08/2021 4:38,TRUE,1056,TRUE,TRUE,TRUE,58,61,51,TRUE,89,79,86,78,You have passed the following jobs,You have passed the following jobs,Copy Writer,16/05/2021 8:14,08/09/2021 1:10
1057,25/09/2021 1:01,TRUE,1057,TRUE,FALSE,TRUE,69,52,66,TRUE,99,93,93,78,You have passed the following jobs,You have passed the following jobs,Copy Writer,26/04/2021 9:27,19/09/2021 23:14
1058,11/09/2021 10:01,TRUE,1058,TRUE,FALSE,TRUE,64,60,65,TRUE,91,81,93,94,You have passed the following jobs,You have passed the following jobs,Copy Writer,12/04/2021 6:16,24/03/2021 15:37
1059,16/06/2021 21:04,TRUE,1059,TRUE,FALSE,TRUE,59,70,63,TRUE,80,82,75,79,You have passed the following jobs,You have passed the following jobs,Copy Writer,10/07/2021 11:22,22/08/2021 6:41
1060,19/04/2021 23:33,TRUE,1060,TRUE,FALSE,TRUE,66,51,58,TRUE,98,91,93,92,You have passed the following jobs,You have passed the following jobs,Copy Writer,12/03/2021 0:17,11/10/2021 18:40
1061,02/04/2021 18:21,TRUE,1061,TRUE,TRUE,FALSE,52,55,55,TRUE,99,95,92,79,You have passed the following jobs,You have passed the following jobs,Copy Writer,30/07/2021 4:51,01/05/2021 5:27
1062,25/05/2021 3:55,TRUE,1062,FALSE,TRUE,FALSE,55,59,59,TRUE,93,87,95,92,You have passed the following jobs,You have passed the following jobs,Copy Writer,09/07/2021 22:14,18/03/2021 10:50
1063,05/05/2021 17:52,TRUE,1063,FALSE,TRUE,TRUE,66,62,64,TRUE,86,95,83,79,You have passed the following jobs,You have passed the following jobs,Translator,06/10/2021 1:59,28/02/2021 3:57
1064,23/05/2021 7:22,TRUE,1064,TRUE,TRUE,TRUE,57,67,65,TRUE,89,76,92,77,You have passed the following jobs,You have passed the following jobs,Translator,06/08/2021 19:42,16/10/2021 12:38
1065,11/10/2021 17:34,TRUE,1065,TRUE,FALSE,FALSE,61,57,55,TRUE,90,94,80,84,You have passed the following jobs,You have passed the following jobs,Translator,01/07/2021 19:21,03/06/2021 10:57
1066,14/10/2021 6:49,TRUE,1066,FALSE,FALSE,FALSE,61,58,52,TRUE,91,75,82,91,You have passed the following jobs,You have passed the following jobs,Translator,11/09/2021 15:44,05/10/2021 1:07
1067,16/09/2021 0:04,TRUE,1067,TRUE,TRUE,FALSE,63,55,62,TRUE,91,88,92,79,You have passed the following jobs,You have passed the following jobs,Copy Writer,12/10/2021 21:00,02/06/2021 12:37
1068,16/10/2021 6:30,TRUE,1068,TRUE,TRUE,TRUE,62,54,65,TRUE,90,95,86,76,You have passed the following jobs,You have passed the following jobs,Copy Writer,14/03/2021 11:27,15/05/2021 14:22
1069,25/03/2021 14:48,TRUE,1069,TRUE,TRUE,TRUE,56,70,63,TRUE,89,75,80,86,You have passed the following jobs,You have passed the following jobs,Translator,09/05/2021 17:47,06/07/2021 7:45
1070,10/08/2021 10:04,TRUE,1070,FALSE,FALSE,FALSE,70,53,65,TRUE,100,88,75,84,You have passed the following jobs,You have passed the following jobs,Translator,13/04/2021 2:12,11/05/2021 3:43
1071,07/05/2021 22:00,TRUE,1071,FALSE,TRUE,FALSE,66,54,56,TRUE,88,96,85,96,You have passed the following jobs,You have passed the following jobs,Translator,06/08/2021 19:35,18/03/2021 6:00
1072,16/02/2021 8:27,TRUE,1072,TRUE,FALSE,TRUE,52,69,51,TRUE,90,80,77,80,You have passed the following jobs,You have passed the following jobs,Translator,15/04/2021 10:05,06/08/2021 16:36
1073,07/03/2021 21:42,TRUE,1073,FALSE,FALSE,FALSE,58,51,54,TRUE,91,81,79,94,You have passed the following jobs,You have passed the following jobs,Translator,18/03/2021 15:44,13/03/2021 7:08
1074,27/06/2021 0:45,TRUE,1074,TRUE,FALSE,TRUE,56,62,53,TRUE,88,86,81,86,You have passed the following jobs,You have passed the following jobs,Translator,04/06/2021 16:48,30/05/2021 20:40
1075,16/03/2021 5:54,TRUE,1075,TRUE,FALSE,TRUE,62,70,69,TRUE,89,85,81,83,You have passed the following jobs,You have passed the following jobs,Translator,28/07/2021 1:18,11/08/2021 13:19
1076,25/10/2021 15:29,TRUE,1076,FALSE,TRUE,TRUE,53,66,66,TRUE,95,86,89,79,You have passed the following jobs,You have passed the following jobs,Translator,29/08/2021 6:42,05/10/2021 3:38
1077,14/02/2021 1:20,TRUE,1077,FALSE,TRUE,TRUE,51,60,55,TRUE,84,87,75,93,You have passed the following jobs,You have passed the following jobs,Translator,01/05/2021 13:51,13/02/2021 19:05
1078,15/04/2021 10:37,TRUE,1078,TRUE,TRUE,TRUE,50,52,60,TRUE,99,75,85,84,You have passed the following jobs,You have passed the following jobs,Copy Writer,11/03/2021 4:41,05/10/2021 15:52
1079,07/09/2021 0:03,TRUE,1079,TRUE,TRUE,FALSE,64,56,52,TRUE,86,83,92,94,You have passed the following jobs,You have passed the following jobs,Copy Writer,04/10/2021 13:36,17/02/2021 23:16
1080,30/05/2021 3:31,TRUE,1080,TRUE,FALSE,FALSE,60,53,62,TRUE,100,85,95,86,You have passed the following jobs,You have passed the following jobs,Editor,19/07/2021 17:16,19/05/2021 16:06
1081,24/04/2021 3:25,TRUE,1081,TRUE,FALSE,TRUE,65,54,69,TRUE,86,93,78,88,You have passed the following jobs,You have passed the following jobs,Editor,21/10/2021 18:49,12/07/2021 1:23
1082,25/04/2021 4:37,TRUE,1082,TRUE,FALSE,FALSE,67,59,66,TRUE,80,96,75,93,You have passed the following jobs,You have passed the following jobs,Editor,28/03/2021 6:27,08/08/2021 12:20
1083,16/05/2021 3:37,TRUE,1083,TRUE,FALSE,TRUE,69,58,64,TRUE,84,75,95,77,You have passed the following jobs,You have passed the following jobs,Editor,16/06/2021 19:14,03/06/2021 22:24
1084,06/03/2021 6:21,TRUE,1084,TRUE,TRUE,FALSE,61,61,65,TRUE,87,82,90,89,You have passed the following jobs,You have passed the following jobs,Editor,27/06/2021 17:31,18/06/2021 13:24
1085,01/11/2021 2:17,TRUE,1085,TRUE,FALSE,FALSE,51,64,55,TRUE,98,86,75,78,You have passed the following jobs,You have passed the following jobs,Editor,07/09/2021 12:55,16/04/2021 7:49
1086,27/04/2021 1:39,TRUE,1086,FALSE,FALSE,TRUE,70,66,63,TRUE,84,82,89,80,You have passed the following jobs,You have passed the following jobs,Editor,24/04/2021 22:48,29/07/2021 2:31
1087,27/04/2021 16:09,TRUE,1087,TRUE,FALSE,TRUE,58,65,55,TRUE,81,84,82,88,You have passed the following jobs,You have passed the following jobs,Editor,29/03/2021 14:03,01/04/2021 6:27
1088,04/08/2021 9:59,TRUE,1088,FALSE,TRUE,FALSE,70,68,59,TRUE,90,76,90,89,You have passed the following jobs,You have passed the following jobs,Editor,12/10/2021 1:00,24/05/2021 8:40
1089,17/06/2021 14:48,TRUE,1089,FALSE,TRUE,FALSE,60,51,65,TRUE,89,80,93,84,You have passed the following jobs,You have passed the following jobs,Editor,18/05/2021 12:44,18/08/2021 18:52
1090,01/08/2021 2:05,TRUE,1090,TRUE,FALSE,FALSE,52,67,70,TRUE,92,79,75,76,You have passed the following jobs,You have passed the following jobs,Translator,25/08/2021 17:08,09/04/2021 10:57
1091,18/08/2021 8:33,TRUE,1091,FALSE,TRUE,TRUE,59,67,68,TRUE,91,86,93,83,You have passed the following jobs,You have passed the following jobs,Translator,28/04/2021 20:22,07/09/2021 13:41
1092,26/06/2021 17:42,TRUE,1092,FALSE,FALSE,TRUE,70,57,66,TRUE,88,80,85,84,You have passed the following jobs,You have passed the following jobs,Translator,20/10/2021 8:42,27/06/2021 8:51
1093,12/04/2021 13:49,TRUE,1093,TRUE,FALSE,TRUE,50,56,62,TRUE,98,81,92,87,You have passed the following jobs,You have passed the following jobs,Translator,17/04/2021 13:31,22/02/2021 18:24
1094,02/04/2021 5:14,TRUE,1094,FALSE,TRUE,TRUE,59,50,70,TRUE,81,85,87,90,You have passed the following jobs,You have passed the following jobs,Translator,10/08/2021 4:41,19/05/2021 8:18
1095,07/07/2021 19:36,TRUE,1095,FALSE,TRUE,TRUE,60,69,57,TRUE,95,75,95,84,You have passed the following jobs,You have passed the following jobs,Translator,01/07/2021 19:18,04/07/2021 14:33
1096,16/06/2021 1:06,TRUE,1096,FALSE,TRUE,FALSE,51,52,65,TRUE,88,86,81,84,You have passed the following jobs,You have passed the following jobs,Translator,04/06/2021 12:37,13/04/2021 23:19
1097,05/08/2021 10:28,TRUE,1097,TRUE,FALSE,TRUE,64,51,69,TRUE,92,86,79,82,You have passed the following jobs,You have passed the following jobs,Translator,10/06/2021 9:18,06/05/2021 19:07
1098,16/04/2021 0:56,TRUE,1098,TRUE,TRUE,TRUE,59,56,51,TRUE,86,88,80,93,You have passed the following jobs,You have passed the following jobs,Translator,30/09/2021 20:43,16/04/2021 10:41
